record_id,family,n_sites,instance_id,target_style,trap_site,disorder_strength_over_coupling,disorder_seed,best_arrival,classical_arrival,quantum_minus_classical,qc_case_label
chain_N6_r0_s9106_target-near_W0.000_seed3,chain,6,chain_N6_r0_s9106,near,4,0.0,3,0.34111809449171104,0.5927685956846419,-0.25165050119293086,classical_higher
chain_N6_r0_s9106_target-near_W0.000_seed5,chain,6,chain_N6_r0_s9106,near,4,0.0,5,0.34111809449171104,0.5927685956846419,-0.25165050119293086,classical_higher
chain_N6_r0_s9106_target-near_W0.600_seed3,chain,6,chain_N6_r0_s9106,near,4,0.6,3,0.349810624458327,0.5927685956846419,-0.2429579712263149,classical_higher
chain_N6_r0_s9106_target-near_W0.600_seed5,chain,6,chain_N6_r0_s9106,near,4,0.6,5,0.36039281947753377,0.5927685956846419,-0.23237577620710814,classical_higher
chain_N6_r0_s9106_target-far_W0.000_seed3,chain,6,chain_N6_r0_s9106,far,0,0.0,3,0.5577448633211352,0.0185493203138992,0.5391955430072359,quantum_higher
chain_N6_r0_s9106_target-far_W0.000_seed5,chain,6,chain_N6_r0_s9106,far,0,0.0,5,0.5577448633211352,0.0185493203138992,0.5391955430072359,quantum_higher
chain_N6_r0_s9106_target-far_W0.600_seed3,chain,6,chain_N6_r0_s9106,far,0,0.6,3,0.39607930294706195,0.0185493203138992,0.37752998263316273,quantum_higher
chain_N6_r0_s9106_target-far_W0.600_seed5,chain,6,chain_N6_r0_s9106,far,0,0.6,5,0.4334182343580701,0.0185493203138992,0.41486891404417087,quantum_higher
ring_N6_r0_s9106_target-near_W0.000_seed3,ring,6,ring_N6_r0_s9106,near,0,0.0,3,0.24276251108815083,0.3313275796896863,-0.08856506860153546,classical_higher
ring_N6_r0_s9106_target-near_W0.000_seed5,ring,6,ring_N6_r0_s9106,near,0,0.0,5,0.24276251108815083,0.3313275796896863,-0.08856506860153546,classical_higher
ring_N6_r0_s9106_target-near_W0.600_seed3,ring,6,ring_N6_r0_s9106,near,0,0.6,3,0.2886508375886233,0.3313275796896863,-0.04267674210106298,classical_explains
ring_N6_r0_s9106_target-near_W0.600_seed5,ring,6,ring_N6_r0_s9106,near,0,0.6,5,0.2595691747737241,0.3313275796896863,-0.07175840491596219,classical_higher
ring_N6_r0_s9106_target-far_W0.000_seed3,ring,6,ring_N6_r0_s9106,far,2,0.0,3,0.6196049063465541,0.14024400007762272,0.47936090626893135,quantum_higher
ring_N6_r0_s9106_target-far_W0.000_seed5,ring,6,ring_N6_r0_s9106,far,2,0.0,5,0.6196049063465541,0.14024400007762272,0.47936090626893135,quantum_higher
ring_N6_r0_s9106_target-far_W0.600_seed3,ring,6,ring_N6_r0_s9106,far,2,0.6,3,0.5204209336242848,0.14024400007762272,0.38017693354666204,quantum_higher
ring_N6_r0_s9106_target-far_W0.600_seed5,ring,6,ring_N6_r0_s9106,far,2,0.6,5,0.47100980252942914,0.14024400007762272,0.3307658024518064,quantum_higher
random_geometric_N6_r0_s69100_target-near_W0.000_seed3,random_geometric,6,random_geometric_N6_r0_s69100,near,1,0.0,3,0.26562355514955927,0.373436347100497,-0.10781279195093774,classical_higher
random_geometric_N6_r0_s69100_target-near_W0.000_seed5,random_geometric,6,random_geometric_N6_r0_s69100,near,1,0.0,5,0.26562355514955927,0.373436347100497,-0.10781279195093774,classical_higher
random_geometric_N6_r0_s69100_target-near_W0.600_seed3,random_geometric,6,random_geometric_N6_r0_s69100,near,1,0.6,3,0.25556430553653636,0.373436347100497,-0.11787204156396064,classical_higher
random_geometric_N6_r0_s69100_target-near_W0.600_seed5,random_geometric,6,random_geometric_N6_r0_s69100,near,1,0.6,5,0.28259728837561005,0.373436347100497,-0.09083905872488696,classical_higher
random_geometric_N6_r0_s69100_target-far_W0.000_seed3,random_geometric,6,random_geometric_N6_r0_s69100,far,0,0.0,3,0.2138408729362196,0.11627278383036416,0.09756808910585543,quantum_higher
random_geometric_N6_r0_s69100_target-far_W0.000_seed5,random_geometric,6,random_geometric_N6_r0_s69100,far,0,0.0,5,0.2138408729362196,0.11627278383036416,0.09756808910585543,quantum_higher
random_geometric_N6_r0_s69100_target-far_W0.600_seed3,random_geometric,6,random_geometric_N6_r0_s69100,far,0,0.6,3,0.1986651307004056,0.11627278383036416,0.08239234687004143,quantum_higher
random_geometric_N6_r0_s69100_target-far_W0.600_seed5,random_geometric,6,random_geometric_N6_r0_s69100,far,0,0.6,5,0.17731090627550408,0.11627278383036416,0.061038122445139925,quantum_higher
