family,n_records,mean_arrival,mean_dephasing_gain,mean_best_dephasing,combined_test_accuracy_first_split
barabasi_albert_scale_free,54,0.414346731837444,0.1084918002761392,0.6537037037037036,0.8888888888888888
bottleneck,54,0.4661405207105534,0.031290854209600844,0.27037037037037037,0.0
chain,54,0.4502742285517805,0.051288019854725114,0.312962962962963,0.3888888888888889
clustered,54,0.46540524803515165,0.036141345702680454,0.27592592592592596,0.0
complete,54,0.19391812846884562,0.09834370269387739,0.7555555555555552,1.0
erdos_renyi,54,0.3819725156399475,0.06587387099359618,0.5351851851851853,0.6666666666666666
modular_two_community,108,0.30011547398451743,0.05710191535181252,0.39259259259259266,0.5
random_geometric,108,0.34098030217976216,0.05726886536534709,0.48796296296296293,0.16666666666666666
ring,108,0.46494642560890614,0.05850433876963343,0.46851851851851845,1.0
square_lattice_2d,54,0.4140149780123984,0.09488102363856868,0.5870370370370371,0.6666666666666666
star,54,0.2922310494078642,0.17539910261290223,0.7851851851851848,1.0
watts_strogatz_small_world,54,0.42535703743248915,0.05947504044616023,0.4981481481481482,0.7777777777777778
