study,x_value,topology,trap_site,n_sites,ring_parity,ring_shortest_distance,best_regime,eta_best_mean,eta_best_std,gamma_phi_best,final_purity_mean,final_entropy_mean,final_population_entropy_mean,final_participation_ratio_mean,final_ipr_mean,n_realizations
ring_parity_distance,1,ring,1,4,even,1,strongly_dissipative,0.7792708096538821,0.0,1.6,0.2598481127648267,1.3653391905955368,1.375416890381255,3.9184091289510548,0.25520561204585,1
ring_parity_distance,2,ring,2,4,even,2,coherent,0.8966335301247251,0.0,0.0,0.9999999999999987,8.591067149536126e-11,1.0251787896497473,2.520846080463693,0.3966922089174348,1
ring_parity_distance,1,ring,1,5,odd,1,intermediate,0.7229080972731621,0.0,0.8,0.21007242251480182,1.58258765590066,1.6002376739864528,4.915544410123116,0.2034362659689517,1
ring_parity_distance,2,ring,2,5,odd,2,intermediate,0.709035379178474,0.0,0.8,0.2100733134849997,1.582585282072722,1.6002357635903193,4.915527704333514,0.20343695736236073,1
ring_parity_distance,1,ring,1,6,even,1,intermediate,0.6626790323102573,0.0,0.8,0.1737729264704574,1.7687749012729677,1.7832866329760402,5.905888812639676,0.1693225239628315,1
ring_parity_distance,2,ring,2,6,even,2,intermediate,0.6388692186760387,0.0,0.8,0.1737727911837561,1.7687740152780735,1.7832882744374132,5.905911816059378,0.16932186445466324,1
ring_parity_distance,3,ring,3,6,even,3,coherent,0.8512588123858789,0.0,0.0,1.0,1.4315743213928172e-10,1.2914957183985585,3.0584465425240324,0.32696337375729767,1
ring_parity_distance,1,ring,1,7,odd,1,intermediate,0.6227704195255698,0.0,0.8,0.1482154280785714,1.9254507752691712,1.938316818203862,6.902240147105816,0.1448804994736833,1
ring_parity_distance,2,ring,2,7,odd,2,intermediate,0.5943650640976853,0.0,0.8,0.14821536496926846,1.9254509736983032,1.9383173679276675,6.902246916402692,0.1448803573838502,1
ring_parity_distance,3,ring,3,7,odd,3,intermediate,0.5830855010013306,0.0,0.4,0.15281357832634512,1.9086913280397744,1.937247835481886,6.890774048488916,0.1451215774836342,1
ring_parity_distance,1,ring,1,8,even,1,intermediate,0.5794595539573423,0.0,0.8,0.12937877742129605,2.0601660690215473,2.0718163716540015,7.887939888965477,0.1267758139737995,1
ring_parity_distance,2,ring,2,8,even,2,intermediate,0.5442213767986123,0.0,0.8,0.1293778093553162,2.0601706247434732,2.071817141497383,7.887947887802618,0.1267756854157634,1
ring_parity_distance,3,ring,3,8,even,3,intermediate,0.5221400702598593,0.0,0.4,0.13273651631597613,2.046234920666567,2.070241323645483,7.864523914421936,0.12715327855589625,1
ring_parity_distance,4,ring,4,8,even,4,coherent,0.8030272956220618,0.0,0.0,1.0000000000000089,2.0029950508657333e-10,1.9774125174387396,6.639806521675226,0.150606798064908,1
ring_parity_distance,1,ring,1,9,odd,1,intermediate,0.5484513541266455,0.0,0.8,0.11478182307217806,2.178960924832581,2.189567020704409,8.873315457935984,0.11269744716509937,1
ring_parity_distance,2,ring,2,9,odd,2,intermediate,0.5142700155535079,0.0,0.4,0.11678292574021176,2.169446773392799,2.190610690554364,8.891629725863824,0.11246532197480251,1
ring_parity_distance,3,ring,3,9,odd,3,intermediate,0.49869951025981396,0.0,0.4,0.11680734210663875,2.16932942280661,2.1906835773368507,8.89303262465692,0.11244758028070077,1
ring_parity_distance,4,ring,4,9,odd,4,intermediate,0.4913605719287684,0.0,0.4,0.11678746375524666,2.1694302240712617,2.1907688810297206,8.894353001360743,0.11243088731097252,1
ring_parity_distance,1,ring,1,10,even,1,intermediate,0.518965845778266,0.0,0.8,0.10320539796700044,2.2847772482752378,2.294652886819855,9.854357577848058,0.10147794943507364,1
ring_parity_distance,2,ring,2,10,even,2,intermediate,0.4779878970780227,0.0,0.4,0.10478219839452517,2.2764142613804226,2.2958456211550655,9.876641746192744,0.10124898985887393,1
ring_parity_distance,3,ring,3,10,even,3,intermediate,0.45655251721999984,0.0,0.4,0.10475196491731928,2.276573264767823,2.2956518677861983,9.872649039152654,0.10128993708114511,1
ring_parity_distance,4,ring,4,10,even,4,intermediate,0.43782975700170934,0.0,0.4,0.10475942070797584,2.276521292222294,2.295781893844345,9.875246690858537,0.10126329309076346,1
ring_parity_distance,5,ring,5,10,even,5,coherent,0.746637854448574,0.0,0.0,1.000000000000002,2.5764995078899555e-10,1.573795724871915,3.9724354580349885,0.2517347381887135,1
ring_parity_distance,1,ring,1,11,odd,1,strongly_dissipative,0.4988343552362343,0.0,1.6,0.09437025252362954,2.3766923903423662,2.3822414541019863,10.690275219708264,0.09354296119116097,1
ring_parity_distance,2,ring,2,11,odd,2,intermediate,0.4555293586314084,0.0,0.4,0.0947362954535175,2.374676278734862,2.3919493889502803,10.880251575748192,0.09190963950033793,1
ring_parity_distance,3,ring,3,11,odd,3,intermediate,0.4346278937995703,0.0,0.4,0.09472710325821039,2.374732273038453,2.392011467254443,10.881547032081803,0.0918986975888377,1
ring_parity_distance,4,ring,4,11,odd,4,intermediate,0.4219323530902007,0.0,0.4,0.09473162182334167,2.3747030234662527,2.391976677095361,10.880916724574583,0.09190402107769992,1
ring_parity_distance,5,ring,5,11,odd,5,intermediate,0.4175811500551603,0.0,0.2,0.10051936634904893,2.3438424760037124,2.388878276865157,10.82114802360438,0.09241163671531714,1
ring_parity_distance,1,ring,1,12,even,1,strongly_dissipative,0.4848575556369741,0.0,1.6,0.0866133710267902,2.462982891075153,2.4681998766076823,11.640235000828467,0.0859089184993969,1
ring_parity_distance,2,ring,2,12,even,2,intermediate,0.43024877454137744,0.0,0.4,0.08666109284689208,2.462788174423684,2.4789031435182145,11.867710100977442,0.08426225375337054,1
ring_parity_distance,3,ring,3,12,even,3,intermediate,0.4064175786162464,0.0,0.4,0.08668185163197553,2.46265220880209,2.478672898680601,11.862610256347502,0.0842984788668173,1
ring_parity_distance,4,ring,4,12,even,4,intermediate,0.3883856869258035,0.0,0.4,0.08670029485753702,2.4625267112139393,2.4786630889987147,11.862195160894572,0.08430142873526844,1
ring_parity_distance,5,ring,5,12,even,5,intermediate,0.3706310728306062,0.0,0.4,0.0866740616489799,2.4626950778805123,2.478767714040792,11.864382156557726,0.08428588921061315,1
ring_parity_distance,6,ring,6,12,even,6,coherent,0.7139643107732212,0.0,0.0,1.0000000000000062,3.1486104030975563e-10,2.153970142407462,7.485826961392315,0.13358577551383935,1
